file,case,title
"200101/最高法院刑事/TPSM,90,台上,360,20010118.json",台上,違反廢棄物清理法
"200101/臺灣屏東地方法院刑事/PTDM,88,訴,752,20010119.json",訴,違反廢棄物清理法
"200101/臺灣屏東地方法院刑事/PTDM,89,訴,359,20010104.json",訴,違反廢棄物清理法等
"200101/臺灣屏東地方法院刑事/PTDM,89,訴,717,20010118.json",訴,違反廢棄物清理法
"200101/臺灣屏東地方法院刑事/PTDM,89,訴,728,20010110.json",訴,違反廢棄物清理法
"200101/臺灣屏東地方法院刑事/PTDM,89,訴,737,20010108.json",訴,違反廢棄物清理法
"200101/臺灣新竹地方法院刑事/SCDM,90,竹簡,25,20010109,1.json",竹簡,違反廢棄物清理法
"200101/臺灣桃園地方法院刑事/TYDM,89,訴,1399,20010109.json",訴,違反廢棄物清理法
"200101/臺灣桃園地方法院刑事/TYDM,89,訴,1459,20010130.json",訴,違反廢棄物清理法
"200101/臺灣臺北地方法院刑事/TPDM,89,簡,1538,20010131,1.json",簡,違反廢棄物清理法
"200101/臺灣臺北地方法院刑事/TPDM,89,訴,1289,20010129,1.json",訴,違反廢棄物清理法
"200101/臺灣臺北地方法院刑事/TPDM,89,訴,1436,20010130,1.json",訴,違反廢棄物清理法
"200101/臺灣苗栗地方法院刑事/MLDM,89,訴,142,20010118,3.json",訴,違反廢棄物清理法
"200101/臺灣苗栗地方法院刑事/MLDM,89,訴,198,20010129,3.json",訴,違反廢棄物清理法
"200101/臺灣苗栗地方法院刑事/MLDM,89,訴,198,20010129,4.json",訴,違反廢棄物清理法
"200101/臺灣苗栗地方法院刑事/MLDM,89,訴,396,20010129,1.json",訴,違反廢棄物清理法
"200101/臺灣高等法院臺南分院刑事/TNHM,89,上訴,1445,20010111,2.json",上訴,違反廢棄物清理法
"200101/臺灣高等法院高雄分院刑事/KSHM,90,上訴,386,20010110,1.json",上訴,違反廢棄物清理法
"200101/臺灣高雄地方法院刑事/KSDM,89,訴,1890,20010119,1.json",訴,違反廢棄物清理法
"200101/臺灣高雄地方法院刑事/KSDM,89,訴,2660,20010116,1.json",訴,違反廢棄物清理法
"200102/臺灣南投地方法院刑事/NTDM,89,訴,218,20010212.json",訴,違反廢棄物清理法
"200102/臺灣南投地方法院刑事/NTDM,89,訴,459,20010227,1.json",訴,違反廢棄物清理法
"200102/臺灣基隆地方法院刑事/KLDM,89,訴,743,20010227,2.json",訴,違反廢棄物清理法
"200102/臺灣屏東地方法院刑事/PTDM,90,訴,5,20010222,1.json",訴,違反廢棄物清理法
"200102/臺灣臺中地方法院刑事/TCDM,90,訴,327,20010207,2.json",訴,違反廢棄物清理法
"200102/臺灣臺北地方法院刑事/TPDM,89,訴,910,20010223,2.json",訴,違反廢棄物清理法
"200102/臺灣苗栗地方法院刑事/MLDM,89,訴,140,20010201,3.json",訴,違反廢棄物清理法
"200102/臺灣苗栗地方法院刑事/MLDM,89,訴,344,20010212,1.json",訴,違反廢棄物清理法
"200102/臺灣苗栗地方法院刑事/MLDM,90,苗簡,18,20010212,1.json",苗簡,違反廢棄物清理法
"200102/臺灣苗栗地方法院刑事/MLDM,90,苗簡,20,20010212,1.json",苗簡,違反廢棄物清理法
"200102/臺灣苗栗地方法院刑事/MLDM,90,苗簡,44,20010201,1.json",苗簡,違反廢棄物清理法
"200102/臺灣高等法院高雄分院刑事/KSHM,90,上訴,532,20010223,1.json",上訴,違反廢棄物清理法
"200102/臺灣高雄地方法院刑事/KSDM,89,訴,2610,20010227,2.json",訴,違反廢棄物清理法
"200102/臺灣高雄地方法院刑事/KSDM,89,訴,2968,20010206,1.json",訴,違反廢棄物清理法
"200102/臺灣高雄地方法院刑事/KSDM,89,訴,928,20010223,1.json",訴,違反廢棄物清理法
"200102/臺灣高雄地方法院刑事/KSDM,90,訴,211,20010227,1.json",訴,違反廢棄物清理法
"200102/豐原簡易庭刑事/FYEM,90,豐簡,3,20010205,1.json",豐簡,違反廢棄物清理法
"200103/最高法院刑事/TPSM,90,台上,1387,20010308.json",台上,違反廢棄物清理法
"200103/最高法院刑事/TPSM,90,台上,1775,20010322.json",台上,違反廢棄物清理法
